GEOID10,Year,Count_HH,English_Only,Sh_Eng_Only,Other_Lang,Sh_Other_Lang,Tot_Fam_HH,Married_Fam_HH,Sh_Married_Fam,Single_Parent_Fam,Sh_Single_Fam,Average_HINCP,Count_Ind,HISP,Share_Hisp,White_Non_Hisp,Sh_White_Non_Hisp,Non_White_Non_Hisp,Sh_Other
5310100,2015,892,626,0.701793722,266,0.298206278,473,372,0.786469345,101,0.213530655,80913.96454,1823,147,0.080636314,1418,0.777838727,258,0.141524959
5310200,2015,1968,1471,0.74745935,497,0.25254065,1131,923,0.816091954,208,0.183908046,89866.83004,3759,288,0.076616121,3187,0.84783187,284,0.075552009
5310300,2015,533,346,0.649155722,187,0.350844278,276,210,0.760869565,66,0.239130435,77636.61995,1056,201,0.190340909,829,0.785037879,26,0.024621212
5310400,2015,897,648,0.722408027,249,0.277591973,447,334,0.747203579,113,0.252796421,65310.80548,1583,115,0.072646873,1204,0.760581175,264,0.166771952
5310501,2015,537,425,0.791433892,112,0.208566108,301,237,0.787375415,64,0.212624585,67531.67532,1154,42,0.036395147,953,0.825823224,159,0.137781629
5310502,2015,666,460,0.690690691,206,0.309309309,358,288,0.804469274,70,0.195530726,81410.69094,1266,75,0.059241706,1039,0.820695103,152,0.120063191
5310503,2015,516,439,0.850775194,77,0.149224806,322,267,0.829192547,55,0.170807453,78908.75319,1150,40,0.034782609,1032,0.897391304,78,0.067826087
5310504,2015,510,357,0.7,153,0.3,270,229,0.848148148,41,0.151851852,79746.95116,1096,38,0.034671533,959,0.875,99,0.090328467
5310600,2015,901,623,0.69145394,278,0.30854606,447,353,0.789709172,94,0.210290828,72077.34012,1702,147,0.086368978,1431,0.840775558,124,0.072855464
5310701,2015,390,275,0.705128205,115,0.294871795,239,198,0.828451883,41,0.171548117,80468.44568,1018,301,0.2956778,641,0.629666012,76,0.074656189
5310702,2015,373,282,0.756032172,91,0.243967828,236,189,0.800847458,47,0.199152542,86345.20173,926,147,0.1587473,707,0.76349892,72,0.07775378
5310703,2015,538,332,0.617100372,206,0.382899628,256,209,0.81640625,47,0.18359375,86098.21628,1101,215,0.195277021,812,0.737511353,74,0.067211626
5310800,2015,643,391,0.608087092,252,0.391912908,323,264,0.817337461,59,0.182662539,71263.67355,1374,378,0.27510917,931,0.677583697,65,0.047307132
5310901,2015,434,281,0.647465438,153,0.352534562,222,172,0.774774775,50,0.225225225,66448.84469,1025,388,0.378536585,581,0.566829268,56,0.054634146
5310902,2015,493,269,0.545638945,224,0.454361055,253,191,0.754940711,62,0.245059289,59840.1982,1401,684,0.488222698,547,0.390435403,170,0.121341899
5311000,2015,725,559,0.771034483,166,0.228965517,392,312,0.795918367,80,0.204081633,69299.2451,1442,139,0.096393897,1234,0.855755895,69,0.047850208
5311101,2015,567,438,0.772486772,129,0.227513228,321,251,0.781931464,70,0.218068536,74589.91103,1181,108,0.091447925,930,0.787468247,143,0.121083827
5311102,2015,453,363,0.801324503,90,0.198675497,285,233,0.81754386,52,0.18245614,89505.34588,1093,94,0.08600183,902,0.825251601,97,0.088746569
5311103,2015,407,325,0.798525799,82,0.201474201,255,213,0.835294118,42,0.164705882,90891.60836,1054,69,0.065464896,866,0.821631879,119,0.112903226
5311104,2015,513,412,0.803118908,101,0.196881092,322,264,0.819875776,58,0.180124224,93299.22553,1340,43,0.032089552,1193,0.890298507,104,0.07761194
5311200,2015,634,488,0.769716088,146,0.230283912,358,289,0.80726257,69,0.19273743,71244.48794,1318,112,0.084977238,1113,0.844461305,93,0.070561457
5311300,2015,760,544,0.715789474,216,0.284210526,389,314,0.807197943,75,0.192802057,73357.20307,1421,81,0.057002111,1118,0.78676988,222,0.156228008
5311401,2015,623,463,0.74317817,160,0.25682183,357,286,0.801120448,71,0.198879552,77202.75419,1302,107,0.08218126,1002,0.769585253,193,0.148233487
5311402,2015,456,370,0.811403509,86,0.188596491,281,236,0.839857651,45,0.160142349,95408.82767,1096,88,0.080291971,870,0.79379562,138,0.125912409
5311501,2015,607,410,0.675453048,197,0.324546952,305,232,0.760655738,73,0.239344262,64838.20123,1128,105,0.093085106,694,0.615248227,329,0.291666667
5311502,2015,565,417,0.738053097,148,0.261946903,327,262,0.801223242,65,0.198776758,96223.95763,1172,49,0.041808874,971,0.828498294,152,0.129692833
5311503,2015,505,287,0.568316832,218,0.431683168,241,187,0.77593361,54,0.22406639,69256.0105,1095,141,0.128767123,647,0.59086758,307,0.280365297
5311504,2015,509,323,0.634577603,186,0.365422397,263,197,0.74904943,66,0.25095057,60316.48394,1154,151,0.13084922,682,0.590987868,321,0.278162912
5311505,2015,792,627,0.791666667,165,0.208333333,514,430,0.836575875,84,0.163424125,97504.9567,1905,109,0.057217848,1420,0.745406824,376,0.197375328
5311506,2015,479,380,0.793319415,99,0.206680585,316,261,0.825949367,55,0.174050633,86603.28378,1200,133,0.110833333,892,0.743333333,175,0.145833333
5311507,2015,446,385,0.8632287,61,0.1367713,298,246,0.825503356,52,0.174496644,97013.0665,1132,61,0.053886926,958,0.846289753,113,0.099823322
5311601,2015,622,474,0.762057878,148,0.237942122,401,334,0.832917706,67,0.167082294,110353.2216,1264,55,0.043512658,998,0.789556962,211,0.16693038
5311602,2015,697,384,0.550932568,313,0.449067432,337,280,0.830860534,57,0.169139466,108197.3151,1351,83,0.061435973,927,0.686158401,341,0.252405625
5311603,2015,668,416,0.622754491,252,0.377245509,341,279,0.818181818,62,0.181818182,102927.8536,1010,57,0.056435644,728,0.720792079,225,0.222772277
